Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,SessionType,Year,Race
0 days 00:00:44.852000,19.7,38.0,1016.2,False,35.8,84,3.7,FP1,2024,Bahrain Grand Prix
0 days 00:01:44.867000,19.8,38.0,1016.0,False,35.8,73,3.4,FP1,2024,Bahrain Grand Prix
0 days 00:02:44.873000,19.7,38.0,1016.2,False,35.9,72,4.1,FP1,2024,Bahrain Grand Prix
0 days 00:03:44.889000,19.7,38.0,1016.2,False,35.9,83,3.7,FP1,2024,Bahrain Grand Prix
0 days 00:04:44.894000,19.7,38.0,1016.1,False,35.9,89,4.0,FP1,2024,Bahrain Grand Prix
0 days 00:05:44.894000,19.6,38.0,1016.1,False,36.0,64,3.7,FP1,2024,Bahrain Grand Prix
0 days 00:06:44.888000,19.6,38.0,1016.2,False,35.8,78,2.9,FP1,2024,Bahrain Grand Prix
0 days 00:07:44.905000,19.5,38.0,1016.1,False,35.7,70,3.9,FP1,2024,Bahrain Grand Prix
0 days 00:08:44.927000,19.5,38.0,1016.1,False,35.7,83,3.3,FP1,2024,Bahrain Grand Prix
0 days 00:09:44.935000,19.5,39.0,1016.2,False,35.7,86,3.8,FP1,2024,Bahrain Grand Prix
0 days 00:10:44.938000,19.5,39.0,1016.1,False,35.7,109,3.6,FP1,2024,Bahrain Grand Prix
0 days 00:11:44.943000,19.5,39.0,1016.1,False,35.9,72,3.2,FP1,2024,Bahrain Grand Prix
0 days 00:12:44.943000,19.5,38.0,1016.2,False,35.9,58,3.2,FP1,2024,Bahrain Grand Prix
0 days 00:13:44.959000,19.6,37.0,1016.1,False,35.9,70,2.8,FP1,2024,Bahrain Grand Prix
0 days 00:14:44.958000,19.6,36.0,1016.2,False,35.7,51,3.4,FP1,2024,Bahrain Grand Prix
0 days 00:15:44.959000,19.6,36.0,1016.1,False,35.6,80,3.7,FP1,2024,Bahrain Grand Prix
0 days 00:16:44.983000,19.5,37.0,1016.2,False,35.6,75,3.0,FP1,2024,Bahrain Grand Prix
0 days 00:17:44.978000,19.5,38.0,1016.1,False,35.6,93,3.7,FP1,2024,Bahrain Grand Prix
0 days 00:18:44.979000,19.5,38.0,1016.2,False,35.6,64,2.8,FP1,2024,Bahrain Grand Prix
0 days 00:19:44.980000,19.5,38.0,1016.2,False,35.4,65,2.6,FP1,2024,Bahrain Grand Prix
0 days 00:20:44.973000,19.5,37.0,1016.2,False,35.4,62,3.1,FP1,2024,Bahrain Grand Prix
0 days 00:21:44.982000,19.4,38.0,1016.2,False,35.2,50,4.0,FP1,2024,Bahrain Grand Prix
0 days 00:22:44.966000,19.3,38.0,1016.1,False,35.2,45,3.1,FP1,2024,Bahrain Grand Prix
0 days 00:23:44.975000,19.6,38.0,1016.1,False,34.9,51,2.9,FP1,2024,Bahrain Grand Prix
0 days 00:24:44.983000,19.7,38.0,1016.0,False,34.9,66,3.6,FP1,2024,Bahrain Grand Prix
0 days 00:25:44.995000,19.8,38.0,1016.0,False,34.8,101,3.5,FP1,2024,Bahrain Grand Prix
0 days 00:26:45,19.8,38.0,1016.0,False,34.9,54,2.7,FP1,2024,Bahrain Grand Prix
0 days 00:27:44.992000,19.8,38.0,1016.1,False,34.9,35,3.0,FP1,2024,Bahrain Grand Prix
0 days 00:28:45.001000,19.8,38.0,1016.1,False,34.9,93,2.1,FP1,2024,Bahrain Grand Prix
0 days 00:29:45.002000,19.7,39.0,1016.2,False,34.9,95,2.7,FP1,2024,Bahrain Grand Prix
0 days 00:30:45.004000,19.7,39.0,1016.1,False,35.1,81,3.6,FP1,2024,Bahrain Grand Prix
0 days 00:31:45.020000,19.6,38.0,1016.0,False,35.1,66,2.5,FP1,2024,Bahrain Grand Prix
0 days 00:32:45.017000,19.5,38.0,1016.2,False,34.6,86,3.0,FP1,2024,Bahrain Grand Prix
0 days 00:33:45.060000,19.5,39.0,1016.0,False,34.5,96,3.2,FP1,2024,Bahrain Grand Prix
0 days 00:34:45.032000,19.5,40.0,1016.0,False,34.8,78,2.7,FP1,2024,Bahrain Grand Prix
0 days 00:35:45.038000,19.5,39.0,1016.2,False,34.8,46,3.2,FP1,2024,Bahrain Grand Prix
0 days 00:36:45.021000,19.5,39.0,1016.2,False,34.7,49,3.3,FP1,2024,Bahrain Grand Prix
0 days 00:37:45.040000,19.4,39.0,1016.0,False,34.3,57,3.4,FP1,2024,Bahrain Grand Prix
0 days 00:38:45.027000,19.4,40.0,1016.1,False,34.4,58,3.7,FP1,2024,Bahrain Grand Prix
0 days 00:39:45.039000,19.4,40.0,1016.0,False,34.4,51,3.8,FP1,2024,Bahrain Grand Prix
0 days 00:40:45.034000,19.3,40.0,1016.0,False,34.3,58,3.7,FP1,2024,Bahrain Grand Prix
0 days 00:41:45.034000,19.2,41.0,1016.0,False,34.3,53,3.8,FP1,2024,Bahrain Grand Prix
0 days 00:42:45.033000,19.2,40.0,1016.1,False,34.1,47,3.8,FP1,2024,Bahrain Grand Prix
0 days 00:43:45.034000,19.2,39.0,1016.0,False,34.2,64,3.7,FP1,2024,Bahrain Grand Prix
0 days 00:44:45.041000,19.2,39.0,1016.1,False,34.1,65,4.1,FP1,2024,Bahrain Grand Prix
0 days 00:45:45.060000,19.1,39.0,1015.9,False,33.6,39,3.6,FP1,2024,Bahrain Grand Prix
0 days 00:46:45.053000,19.1,40.0,1016.1,False,33.6,63,3.3,FP1,2024,Bahrain Grand Prix
0 days 00:47:45.063000,19.2,40.0,1015.9,False,33.6,60,3.9,FP1,2024,Bahrain Grand Prix
0 days 00:48:45.065000,19.2,40.0,1016.0,False,33.4,57,4.7,FP1,2024,Bahrain Grand Prix
0 days 00:49:45.087000,19.3,39.0,1016.1,False,33.5,47,3.7,FP1,2024,Bahrain Grand Prix
0 days 00:50:45.095000,19.2,39.0,1016.0,False,33.5,53,3.8,FP1,2024,Bahrain Grand Prix
0 days 00:51:45.085000,19.2,39.0,1016.1,False,33.4,62,3.9,FP1,2024,Bahrain Grand Prix
0 days 00:52:45.113000,19.2,40.0,1016.2,False,33.3,64,3.4,FP1,2024,Bahrain Grand Prix
0 days 00:53:45.126000,19.3,40.0,1016.1,False,33.5,62,2.3,FP1,2024,Bahrain Grand Prix
0 days 00:54:45.123000,19.4,40.0,1016.0,False,33.6,72,3.3,FP1,2024,Bahrain Grand Prix
0 days 00:55:45.123000,19.4,39.0,1016.0,False,33.8,65,3.3,FP1,2024,Bahrain Grand Prix
0 days 00:56:45.121000,19.4,38.0,1016.0,False,33.8,54,2.9,FP1,2024,Bahrain Grand Prix
0 days 00:57:45.129000,19.2,39.0,1015.9,False,33.3,58,4.1,FP1,2024,Bahrain Grand Prix
0 days 00:58:45.128000,19.2,40.0,1016.0,False,33.3,78,3.3,FP1,2024,Bahrain Grand Prix
0 days 00:59:45.124000,19.3,39.0,1016.1,False,33.1,55,3.6,FP1,2024,Bahrain Grand Prix
0 days 01:00:45.125000,19.3,39.0,1016.2,False,33.4,64,3.4,FP1,2024,Bahrain Grand Prix
0 days 01:01:45.125000,19.2,39.0,1016.1,False,33.3,66,3.3,FP1,2024,Bahrain Grand Prix
0 days 01:02:45.133000,19.0,38.0,1016.1,False,33.3,58,3.1,FP1,2024,Bahrain Grand Prix
0 days 01:03:45.123000,19.1,39.0,1016.1,False,33.2,47,2.8,FP1,2024,Bahrain Grand Prix
0 days 01:04:45.130000,19.2,39.0,1016.1,False,33.2,59,3.0,FP1,2024,Bahrain Grand Prix
0 days 01:05:45.130000,19.1,39.0,1016.1,False,32.9,66,3.7,FP1,2024,Bahrain Grand Prix
0 days 01:06:45.134000,19.0,40.0,1016.1,False,32.8,69,3.8,FP1,2024,Bahrain Grand Prix
0 days 01:07:45.125000,19.1,40.0,1016.0,False,32.9,61,3.9,FP1,2024,Bahrain Grand Prix
0 days 01:08:45.130000,19.1,39.0,1016.2,False,32.8,88,4.1,FP1,2024,Bahrain Grand Prix
0 days 01:09:45.139000,19.1,39.0,1016.1,False,32.8,73,3.6,FP1,2024,Bahrain Grand Prix
0 days 01:10:45.142000,19.1,40.0,1016.1,False,32.8,87,3.1,FP1,2024,Bahrain Grand Prix
0 days 01:11:45.159000,19.1,40.0,1016.1,False,32.8,61,3.1,FP1,2024,Bahrain Grand Prix
0 days 01:12:45.165000,19.2,40.0,1016.1,False,32.7,44,3.0,FP1,2024,Bahrain Grand Prix
0 days 01:13:45.187000,19.1,40.0,1016.1,False,32.5,49,3.3,FP1,2024,Bahrain Grand Prix
0 days 01:14:45.186000,19.3,38.0,1016.1,False,32.6,84,2.8,FP1,2024,Bahrain Grand Prix
0 days 01:15:45.188000,19.2,38.0,1016.1,False,32.6,68,3.7,FP1,2024,Bahrain Grand Prix
0 days 01:16:45.189000,19.2,37.0,1016.2,False,32.6,80,3.4,FP1,2024,Bahrain Grand Prix
0 days 01:17:45.192000,19.2,37.0,1016.3,False,32.7,60,2.4,FP1,2024,Bahrain Grand Prix
0 days 01:18:45.204000,19.2,39.0,1016.1,False,32.5,66,4.2,FP1,2024,Bahrain Grand Prix
0 days 01:19:45.207000,19.0,40.0,1016.2,False,32.0,56,3.4,FP1,2024,Bahrain Grand Prix
0 days 01:20:45.207000,19.0,40.0,1016.2,False,31.9,70,3.8,FP1,2024,Bahrain Grand Prix
0 days 01:21:45.208000,19.0,39.0,1016.3,False,32.3,58,2.3,FP1,2024,Bahrain Grand Prix
0 days 00:00:44.627000,17.1,46.0,1017.0,False,23.4,95,2.5,FP2,2024,Bahrain Grand Prix
0 days 00:01:44.644000,17.1,46.0,1017.0,False,23.3,78,2.4,FP2,2024,Bahrain Grand Prix
0 days 00:02:44.652000,17.2,46.0,1017.1,False,23.2,104,1.8,FP2,2024,Bahrain Grand Prix
0 days 00:03:44.680000,17.2,46.0,1017.0,False,23.2,83,3.3,FP2,2024,Bahrain Grand Prix
0 days 00:04:44.697000,17.1,45.0,1017.0,False,23.2,134,2.6,FP2,2024,Bahrain Grand Prix
0 days 00:05:44.682000,17.1,45.0,1017.1,False,23.1,77,2.3,FP2,2024,Bahrain Grand Prix
0 days 00:06:44.713000,17.1,45.0,1017.1,False,23.1,54,3.2,FP2,2024,Bahrain Grand Prix
0 days 00:07:44.700000,17.1,45.0,1017.0,False,23.0,67,2.0,FP2,2024,Bahrain Grand Prix
0 days 00:08:44.702000,17.1,45.0,1017.2,False,23.1,81,2.1,FP2,2024,Bahrain Grand Prix
0 days 00:09:44.713000,17.1,43.0,1017.1,False,23.0,100,2.2,FP2,2024,Bahrain Grand Prix
0 days 00:10:44.708000,17.1,43.0,1017.0,False,23.0,84,3.0,FP2,2024,Bahrain Grand Prix
0 days 00:11:44.718000,17.1,42.0,1017.1,False,22.9,95,2.6,FP2,2024,Bahrain Grand Prix
0 days 00:12:44.717000,17.1,41.0,1017.0,False,22.9,67,3.5,FP2,2024,Bahrain Grand Prix
0 days 00:13:44.704000,17.2,41.0,1017.0,False,22.8,84,2.5,FP2,2024,Bahrain Grand Prix
0 days 00:14:44.713000,17.2,41.0,1017.1,False,22.8,75,2.3,FP2,2024,Bahrain Grand Prix
0 days 00:15:44.705000,17.2,40.0,1017.1,False,22.7,62,2.7,FP2,2024,Bahrain Grand Prix
0 days 00:16:44.731000,17.2,40.0,1017.1,False,22.6,63,2.0,FP2,2024,Bahrain Grand Prix
0 days 00:17:44.774000,17.2,40.0,1017.1,False,22.7,47,2.9,FP2,2024,Bahrain Grand Prix
0 days 00:18:44.749000,17.2,40.0,1017.2,False,22.7,82,2.6,FP2,2024,Bahrain Grand Prix
0 days 00:19:44.742000,17.2,40.0,1017.2,False,22.7,62,1.9,FP2,2024,Bahrain Grand Prix
0 days 00:20:44.758000,17.2,41.0,1017.2,False,22.7,82,2.0,FP2,2024,Bahrain Grand Prix
0 days 00:21:44.751000,17.2,41.0,1017.3,False,22.7,62,1.9,FP2,2024,Bahrain Grand Prix
0 days 00:22:44.757000,17.3,41.0,1017.1,False,22.6,92,2.1,FP2,2024,Bahrain Grand Prix
0 days 00:23:44.739000,17.3,41.0,1017.3,False,22.6,67,2.0,FP2,2024,Bahrain Grand Prix
0 days 00:24:44.750000,17.2,41.0,1017.3,False,22.6,99,1.4,FP2,2024,Bahrain Grand Prix
0 days 00:25:44.752000,17.2,41.0,1017.2,False,22.6,47,2.3,FP2,2024,Bahrain Grand Prix
0 days 00:26:44.756000,17.2,41.0,1017.2,False,22.5,63,2.3,FP2,2024,Bahrain Grand Prix
0 days 00:27:44.749000,17.2,41.0,1017.0,False,22.4,134,1.8,FP2,2024,Bahrain Grand Prix
0 days 00:28:44.753000,17.2,42.0,1017.2,False,22.4,105,2.4,FP2,2024,Bahrain Grand Prix
0 days 00:29:44.759000,17.2,42.0,1017.2,False,22.4,91,1.9,FP2,2024,Bahrain Grand Prix
0 days 00:30:44.754000,17.2,42.0,1017.2,False,22.4,54,1.4,FP2,2024,Bahrain Grand Prix
