Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,SessionType,Year,Race
0 days 00:00:15.363000,34.9,25.0,1001.4,False,48.7,0,1.9,FP1,2025,Bahrain Grand Prix
0 days 00:01:15.391000,35.1,24.0,1001.4,False,48.7,14,2.9,FP1,2025,Bahrain Grand Prix
0 days 00:02:15.395000,35.0,24.0,1001.3,False,48.2,14,2.9,FP1,2025,Bahrain Grand Prix
0 days 00:03:15.411000,35.0,25.0,1001.3,False,48.2,5,2.4,FP1,2025,Bahrain Grand Prix
0 days 00:04:15.395000,35.1,28.0,1001.4,False,47.9,22,1.9,FP1,2025,Bahrain Grand Prix
0 days 00:05:15.413000,35.0,29.0,1001.4,False,47.3,34,2.5,FP1,2025,Bahrain Grand Prix
0 days 00:06:15.413000,34.8,26.0,1001.3,False,47.5,26,1.4,FP1,2025,Bahrain Grand Prix
0 days 00:07:15.407000,35.0,25.0,1001.2,False,48.4,19,1.1,FP1,2025,Bahrain Grand Prix
0 days 00:08:15.419000,35.0,25.0,1001.2,False,48.4,12,2.2,FP1,2025,Bahrain Grand Prix
0 days 00:09:15.433000,35.0,26.0,1001.3,False,48.1,130,1.9,FP1,2025,Bahrain Grand Prix
0 days 00:10:15.434000,35.1,26.0,1001.2,False,48.4,89,1.4,FP1,2025,Bahrain Grand Prix
0 days 00:11:15.463000,35.1,26.0,1001.2,False,48.0,4,1.0,FP1,2025,Bahrain Grand Prix
0 days 00:12:15.466000,35.0,25.0,1001.3,False,48.0,45,2.4,FP1,2025,Bahrain Grand Prix
0 days 00:13:15.449000,35.1,25.0,1001.2,False,48.0,14,2.8,FP1,2025,Bahrain Grand Prix
0 days 00:14:15.466000,35.1,25.0,1001.2,False,47.9,359,2.5,FP1,2025,Bahrain Grand Prix
0 days 00:15:15.452000,35.2,26.0,1001.2,False,47.8,30,2.3,FP1,2025,Bahrain Grand Prix
0 days 00:16:15.453000,35.1,27.0,1001.1,False,47.8,356,1.7,FP1,2025,Bahrain Grand Prix
0 days 00:17:15.468000,35.1,26.0,1001.2,False,47.9,3,1.6,FP1,2025,Bahrain Grand Prix
0 days 00:18:15.456000,35.0,26.0,1001.2,False,48.2,21,1.8,FP1,2025,Bahrain Grand Prix
0 days 00:19:15.472000,35.0,25.0,1001.2,False,48.2,177,1.0,FP1,2025,Bahrain Grand Prix
0 days 00:20:15.485000,35.0,25.0,1001.2,False,48.2,346,1.3,FP1,2025,Bahrain Grand Prix
