Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,SessionType,Year,Race,pirelliCompound
0 days 00:21:14.563000,VER,1,,1.0,1.0,0 days 00:18:56.871000,,,0 days 00:01:09.383000,0 days 00:00:28.687000,,0 days 00:20:46.104000,0 days 00:21:14.634000,106.0,157.0,280.0,187.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:18:56.871000,,1,,,,False,False,,FP1,2023,Bahrain Grand Prix,C2
0 days 00:22:49.992000,VER,1,0 days 00:01:35.429000,2.0,1.0,,,0 days 00:00:30.535000,0 days 00:00:41.153000,0 days 00:00:23.741000,0 days 00:21:45.098000,0 days 00:22:26.251000,0 days 00:22:49.992000,235.0,265.0,280.0,314.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:21:14.563000,,1,,,,False,True,95.429,FP1,2023,Bahrain Grand Prix,C2
0 days 00:25:33.677000,VER,1,,3.0,1.0,,0 days 00:25:31.880000,0 days 00:00:52.814000,0 days 00:01:12.105000,0 days 00:00:38.710000,0 days 00:23:43.022000,0 days 00:24:54.990000,0 days 00:25:33.677000,124.0,127.0,,148.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:22:49.992000,,1,,,,False,False,,FP1,2023,Bahrain Grand Prix,C2
0 days 00:28:19.697000,VER,1,,4.0,2.0,0 days 00:25:58.707000,,0 days 00:01:09.699000,0 days 00:01:07.418000,0 days 00:00:28.889000,0 days 00:26:43.550000,0 days 00:27:50.877000,0 days 00:28:19.705000,138.0,192.0,282.0,144.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:25:33.677000,,1,,,,False,False,,FP1,2023,Bahrain Grand Prix,C2
0 days 00:30:13.359000,VER,1,0 days 00:01:53.662000,5.0,2.0,,0 days 00:30:11.531000,0 days 00:00:30.271000,0 days 00:00:55.102000,0 days 00:00:28.289000,0 days 00:28:49.968000,0 days 00:29:45.070000,0 days 00:30:13.359000,233.0,228.0,,316.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 00:28:19.697000,,1,,,,False,False,113.662,FP1,2023,Bahrain Grand Prix,C2
0 days 00:43:14.515000,VER,1,,6.0,3.0,0 days 00:40:46.535000,,,0 days 00:01:11.255000,0 days 00:00:34.098000,,0 days 00:42:40.564000,0 days 00:43:14.595000,149.0,177.0,284.0,175.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:30:13.359000,,1,,,,False,False,,FP1,2023,Bahrain Grand Prix,C3
0 days 00:44:47.890000,VER,1,0 days 00:01:33.375000,7.0,3.0,,,0 days 00:00:29.507000,0 days 00:00:40.148000,0 days 00:00:23.720000,0 days 00:43:44.022000,0 days 00:44:24.170000,0 days 00:44:47.890000,238.0,267.0,284.0,317.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:43:14.515000,,1,,,,False,True,93.375,FP1,2023,Bahrain Grand Prix,C3
0 days 00:46:56.572000,VER,1,0 days 00:02:08.682000,8.0,3.0,,0 days 00:46:54.794000,0 days 00:00:38.151000,0 days 00:00:59.322000,0 days 00:00:31.209000,0 days 00:45:26.041000,0 days 00:46:25.363000,0 days 00:46:56.572000,158.0,174.0,,214.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:44:47.890000,,1,,,,False,False,128.682,FP1,2023,Bahrain Grand Prix,C3
0 days 00:59:42.067000,VER,1,,9.0,4.0,0 days 00:57:38.783000,,,0 days 00:00:48.727000,0 days 00:00:29.491000,,0 days 00:59:12.750000,0 days 00:59:42.108000,190.0,197.0,273.0,195.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:46:56.572000,,12,,,,False,False,,FP1,2023,Bahrain Grand Prix,C3
0 days 01:01:19.967000,VER,1,0 days 00:01:37.900000,10.0,4.0,,,0 days 00:00:31.366000,0 days 00:00:42.527000,0 days 00:00:24.007000,0 days 01:00:13.433000,0 days 01:00:55.960000,0 days 01:01:19.967000,228.0,245.0,273.0,286.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:59:42.067000,,1,,,,False,True,97.9,FP1,2023,Bahrain Grand Prix,C3
